membership_id,check_in_date,check_in_time,check_out_time
8T75D,20171113,117,778
8T75D,20180111,202,328
8T75D,20170823,427,511
8T75D,20180219,588,1028
R440Q,20170908,374,1179
R440Q,20170923,1077,1123
R440Q,20170203,819,1096
R440Q,20180329,809,960
R440Q,20171206,775,790
R440Q,20170121,856,927
R440Q,20171121,237,262
R440Q,20170220,79,474
R440Q,20171224,888,1035
R440Q,20170202,939,1104
R440Q,20170904,279,796
R440Q,20170906,1051,1103
R440Q,20170626,184,1033
R440Q,20180223,1174,1188
R440Q,20170315,89,1021
R440Q,20180426,806,952
R440Q,20171022,738,779
R4J4S,20170106,87,945
R4J4S,20180425,745,1120
R4J4S,20180305,772,1025
R4J4S,20171007,503,544
R4J4S,20170531,1046,1109
R4J4S,20170914,1109,1150
R4J4S,20170120,650,903
R4J4S,20170821,492,697
R4J4S,20180304,111,900
R4J4S,20180324,906,1179
R4J4S,20180322,1107,1110
K055L,20171217,861,1086
K055L,20171020,247,512
K055L,20170910,321,1078
K055L,20171022,800,872
K055L,20170518,924,1062
K055L,20170711,946,964
K055L,20180215,1056,1097
K055L,20171222,433,673
K055L,20170831,698,1199
338FV,20171029,279,306
338FV,20170525,122,304
338FV,20170604,275,375
338FV,20170826,663,1030
338FV,20170126,812,1120
338FV,20180403,557,1071
338FV,20180128,872,1052
338FV,20180217,778,790
338FV,20180119,794,806
338FV,20180310,925,1029
338FV,20170701,388,1103
338FV,20170927,1038,1089
338FV,20170921,615,686
338FV,20180209,801,1159
338FV,20170111,370,990
338FV,20170626,664,1024
401Y4,20180409,90,238
401Y4,20171203,699,1111
401Y4,20170408,816,1013
401Y4,20170503,120,1011
401Y4,20170116,5,888
401Y4,20170204,681,774
401Y4,20171223,138,635
401Y4,20170527,675,897
401Y4,20180423,99,664
401Y4,20180410,911,943
401Y4,20170825,385,871
401Y4,20170620,404,1017
401Y4,20170531,773,1026
401Y4,20170226,241,595
401Y4,20171010,733,1033
401Y4,20170611,561,1190
401Y4,20170509,685,1109
401Y4,20170730,461,688
401Y4,20170915,441,501
401Y4,20171230,112,208
401Y4,20170404,866,1043
DEQP8,20180106,409,879
DEQP8,20171215,641,1010
DEQP8,20170123,624,806
DEQP8,20171129,689,935
DEQP8,20170727,227,1192
DEQP8,20180311,66,274
DEQP8,20180221,51,750
DEQP8,20171203,575,777
N7F6U,20170421,245,898
N7F6U,20170222,203,1104
N7F6U,20170425,68,375
N7F6U,20170910,413,767
N7F6U,20170306,408,755
N7F6U,20171111,736,1150
N7F6U,20170116,1003,1146
N7F6U,20170809,108,1020
N7F6U,20180208,351,760
N7F6U,20170224,1131,1138
N7F6U,20170810,320,1190
N7F6U,20171002,344,972
N7F6U,20180216,934,1080
N7F6U,20170120,1196,1199
Z7Y82,20170123,678,802
Z7Y82,20170418,638,1179
Z7Y82,20170723,903,1188
Z7Y82,20171225,614,832
Z7Y82,20180213,509,555
Z7Y82,20180223,447,659
Z7Y82,20180417,1183,1192
Z7Y82,20170925,1089,1176
THJ81,20171109,1043,1068
THJ81,20180412,219,575
THJ81,20170920,226,1040
THJ81,20180223,129,497
THJ81,20171209,353,734
THJ81,20170704,976,1176
THJ81,20180303,124,1112
THJ81,20170531,1088,1161
THJ81,20170718,570,879
THJ81,20170116,686,1113
THJ81,20170601,607,1092
THJ81,20171208,509,610
51SWX,20170809,1171,1189
51SWX,20170413,532,1141
51SWX,20170407,1124,1185
51SWX,20180104,327,585
51SWX,20170217,1176,1177
4TZ45,20171008,620,935
4TZ45,20180128,610,1176
4TZ45,20170527,891,922
4TZ45,20170213,197,474
5Y85X,20171211,67,460
5Y85X,20170913,1071,1146
5Y85X,20170516,1033,1141
5Y85X,20170814,10,335
5Y85X,20170523,390,643
5Y85X,20180116,320,1085
5Y85X,20170526,156,824
5Y85X,20171014,883,1140
5Y85X,20170810,1167,1169
5Y85X,20170419,590,877
5Y85X,20170324,420,1171
5Y85X,20180106,1195,1200
5Y85X,20170701,178,358
5Y85X,20171218,442,662
5Y85X,20170417,221,248
5Y85X,20170525,175,704
5Y85X,20170104,951,1019
5Y85X,20170604,279,374
5Y85X,20170816,1115,1155
5Y85X,20180216,630,1077
5Y85X,20170909,61,801
2Q45D,20170809,1065,1196
2Q45D,20171019,827,830
2Q45D,20170127,1148,1192
2Q45D,20171014,758,935
2Q45D,20170624,1059,1196
2Q45D,20171229,1051,1110
2Q45D,20180305,414,936
2Q45D,20180124,901,1079
2Q45D,20170208,137,1133
2Q45D,20171227,4,1188
2Q45D,20180303,613,671
2Q45D,20171216,1010,1129
2Q45D,20170914,711,853
2Q45D,20171018,13,1015
E43E8,20170426,158,954
E43E8,20180101,688,1130
E43E8,20170528,492,830
E43E8,20170307,489,1038
E43E8,20171117,905,1001
E43E8,20171013,161,342
E43E8,20170906,266,613
E43E8,20180226,514,743
E43E8,20180426,256,706
TXNSC,20170326,1065,1160
TXNSC,20170522,450,850
TXNSC,20170225,779,931
TXNSC,20180212,943,1014
TXNSC,20170729,576,842
TXNSC,20170810,213,830
TXNSC,20171129,964,1167
TXNSC,20171010,409,1031
TXNSC,20170720,761,1140
TXNSC,20170322,680,975
TXNSC,20170614,73,691
TXNSC,20171016,273,276
TXNSC,20170207,568,1153
TXNSC,20170427,909,1171
TXNSC,20170221,930,1030
TXNSC,20170220,655,991
TXNSC,20170803,47,217
TXNSC,20170426,1066,1096
TXNSC,20171205,34,732
TXNSC,20171201,630,842
TXNSC,20170927,788,920
TXNSC,20171009,806,1188
TXNSC,20170325,44,466
TXNSC,20180215,176,843
TXNSC,20170405,1048,1135
TXNSC,20171204,490,683
TXNSC,20171023,290,623
TXNSC,20170201,805,1137
1G2F7,20180428,1104,1144
1G2F7,20171211,1154,1178
1G2F7,20170708,932,1167
1G2F7,20170509,844,1141
1G2F7,20171222,697,991
1G2F7,20170608,333,605
0862D,20171104,538,856
0862D,20180117,723,782
0862D,20170112,492,959
1G205,20170811,189,358
1G205,20170514,310,701
1G205,20170410,1125,1163
1G205,20171209,911,1151
1G205,20170527,99,271
1G205,20170419,1021,1046
1G205,20170308,734,1020
1G205,20170620,1017,1121
1G205,20171115,1031,1038
6071T,20170603,287,501
6071T,20170727,430,869
6071T,20180203,75,939
6071T,20170816,606,1143
6071T,20171003,979,1050
6071T,20170920,440,444
6071T,20170502,957,1180
6071T,20170509,82,266
6071T,20180329,763,1136
6071T,20170304,936,1124
6071T,20170116,1184,1200
6071T,20170807,759,1184
6071T,20170207,904,912
6071T,20180428,670,759
6071T,20171011,818,963
6071T,20171231,1055,1163
4D5R1,20170318,83,493
4D5R1,20171117,757,1198
4D5R1,20180202,956,1024
4D5R1,20180328,976,1190
4D5R1,20170607,811,1084
4D5R1,20170407,320,723
4D5R1,20170828,1110,1187
4D5R1,20180304,85,140
4D5R1,20180406,403,896
4D5R1,20170911,365,1146
4D5R1,20170530,545,921
4D5R1,20170204,791,1122
4D5R1,20171028,902,1175
4D5R1,20170109,5,451
4D5R1,20170714,244,442
4D5R1,20171223,657,941
4D5R1,20171119,517,595
4D5R1,20180218,1075,1104
4D5R1,20170302,417,545
4D5R1,20170511,967,1041
4D5R1,20180203,411,867
4D5R1,20170204,437,788
4D5R1,20170611,290,736
4D5R1,20171227,133,904
82GA2,20170101,431,1116
82GA2,20170323,1163,1166
82GA2,20170807,130,344
82GA2,20180402,817,1104
82GA2,20171114,529,723
82GA2,20171225,1009,1155
82GA2,20170728,1122,1151
82GA2,20171205,69,724
82GA2,20171031,1035,1150
82GA2,20171126,258,732
82GA2,20180323,939,1135
82GA2,20170315,22,728
82GA2,20170629,519,1177
82GA2,20171219,893,1024
82GA2,20170716,10,869
82GA2,20180108,980,1035
82GA2,20171109,157,669
82GA2,20170910,410,462
W83OD,20170525,683,1052
W83OD,20180123,714,813
W83OD,20171216,7,502
W83OD,20170126,342,889
W83OD,20180125,428,1122
12C5R,20171108,849,982
12C5R,20170130,284,796
12C5R,20171207,445,900
12C5R,20180429,141,882
12C5R,20180121,343,950
12C5R,20170420,427,566
12C5R,20180131,383,546
12C5R,20171229,1174,1189
12C5R,20170805,1012,1015
12C5R,20171029,471,511
12C5R,20170314,544,726
12C5R,20180114,473,1146
12C5R,20180312,912,1186
12C5R,20170519,1140,1151
12C5R,20180129,827,1182
12C5R,20170908,99,753
8AEAE,20171008,564,689
8AEAE,20171025,951,1200
8AEAE,20171110,899,973
8AEAE,20180217,822,1046
T80FG,20170612,239,437
T80FG,20170922,162,462
T80FG,20170917,327,699
T80FG,20170726,17,952
T80FG,20180127,19,124
T80FG,20171023,242,486
T80FG,20170821,221,672
T80FG,20171022,483,502
T80FG,20170606,1061,1070
T80FG,20180102,145,646
T80FG,20171125,775,880
T80FG,20180106,8,679
T80FG,20171115,188,530
T80FG,20171226,621,1121
T80FG,20170817,704,762
T80FG,20170723,558,641
T80FG,20170612,36,884
T80FG,20180127,141,276
T80FG,20170407,499,1056
T80FG,20170609,1191,1198
T80FG,20170315,42,61
T80FG,20170212,512,527
T80FG,20170411,533,639
T80FG,20170319,1176,1183
T80FG,20180417,179,829
T80FG,20180216,515,945
T80FG,20171227,413,569
T80FG,20180117,585,1020
0CR33,20171019,970,1190
0CR33,20170925,1166,1178
0CR33,20170721,788,918
0CR33,20170829,728,728
0CR33,20171128,1070,1146
0CR33,20170312,630,746
0CR33,20170406,619,1003
0CR33,20170818,375,1140
4JX11,20171127,880,1055
4JX11,20170110,402,1043
4JX11,20170503,302,1117
4JX11,20180105,810,922
4JX11,20170629,585,781
4JX11,20170513,208,739
4JX11,20171009,379,531
4JX11,20171108,641,830
4JX11,20180416,522,995
4JX11,20180427,405,567
4JX11,20170221,660,936
4JX11,20170604,601,694
4JX11,20170203,558,1047
4JX11,20170701,831,879
4JX11,20170211,495,738
4JX11,20180418,685,994
4JX11,20171122,655,710
4JX11,20180324,855,1177
4JX11,20170118,366,755
4JX11,20171118,1149,1173
4JX11,20170821,536,658
4JX11,20171129,462,513
4JX11,20170604,964,971
4JX11,20170207,594,760
4JX11,20171101,925,1180
4JX11,20170531,795,1118
4JX11,20170315,708,1144
4JX11,20170831,882,1158
GHDP5,20170807,1087,1124
GHDP5,20171225,764,832
GHDP5,20170302,1031,1043
GHDP5,20171113,989,1011
GHDP5,20170215,1081,1145
GHDP5,20170703,956,975
GHDP5,20180424,98,512
GHDP5,20180429,964,1002
GHDP5,20170201,745,875
D8FT1,20170217,579,848
D8FT1,20170408,969,1068
D8FT1,20170601,835,888
D8FT1,20171022,340,1125
D8FT1,20170811,997,1004
D8FT1,20171107,43,580
D8FT1,20170319,193,1027
D8FT1,20170105,1094,1134
D8FT1,20171106,1041,1145
D8FT1,20170120,1030,1034
D8FT1,20170210,542,1003
D8FT1,20170917,20,284
D8FT1,20180423,1063,1154
D8FT1,20170225,177,470
0U51D,20170309,593,938
0U51D,20180224,678,1036
0U51D,20170531,559,608
0U51D,20170306,457,719
0U51D,20180501,88,218
355UU,20180418,964,979
355UU,20170102,749,813
355UU,20170513,1031,1177
355UU,20180330,767,1138
V5260,20180426,1088,1175
V5260,20170804,55,1098
V5260,20180123,220,865
V5260,20170908,491,807
V5260,20180228,673,750
V5260,20170327,673,785
V5260,20170705,208,941
V5260,20170606,557,650
6K7I8,20170328,541,854
6K7I8,20180429,74,1032
6K7I8,20170530,1088,1184
6K7I8,20170926,982,1102
6K7I8,20170110,1038,1110
6K7I8,20171125,957,1160
6K7I8,20170427,177,445
6K7I8,20170220,501,1067
6K7I8,20170630,407,1160
6K7I8,20171006,818,1077
6K7I8,20180411,612,903
KE0FH,20180209,138,671
KE0FH,20170902,848,876
KE0FH,20170204,1110,1160
KE0FH,20170823,461,475
KE0FH,20170606,719,923
KE0FH,20170220,563,818
KE0FH,20170107,645,1107
KE0FH,20170128,784,1108
KE0FH,20170830,701,1189
KE0FH,20171203,497,1080
KE0FH,20180101,552,878
KE0FH,20170805,470,638
KE0FH,20170329,858,878
KE0FH,20170802,1020,1060
KE0FH,20171104,737,831
KE0FH,20170101,375,447
KE0FH,20170204,198,218
KE0FH,20180418,1001,1013
KE0FH,20180320,1059,1076
KE0FH,20170824,250,787
KE0FH,20180123,678,808
KE0FH,20170306,614,914
133ED,20180303,482,814
133ED,20180405,23,537
133ED,20170317,1170,1196
133ED,20171015,367,794
133ED,20180422,86,787
133ED,20170914,1121,1159
133ED,20180416,666,755
133ED,20170307,1102,1166
133ED,20170611,490,591
133ED,20170625,818,1150
133ED,20171014,31,1135
133ED,20170531,1093,1100
133ED,20180114,640,761
133ED,20170203,11,1127
133ED,20180430,1197,1200
2B01Y,20170411,89,920
2B01Y,20170125,398,591
2B01Y,20171108,77,523
2B01Y,20180205,857,1107
2B01Y,20180328,295,396
2B01Y,20170719,1062,1098
2B01Y,20170413,390,912
2B01Y,20170409,53,532
2B01Y,20170610,703,848
2B01Y,20170824,1057,1129
2B01Y,20170924,715,837
2B01Y,20170918,606,981
2B01Y,20180428,187,484
2B01Y,20180312,1131,1131
2B01Y,20170728,789,812
2B01Y,20170331,862,1100
2B01Y,20170611,797,930
8SJ77,20170713,826,973
8SJ77,20170509,1036,1175
8SJ77,20171224,227,500
8SJ77,20170607,687,729
8SJ77,20171128,256,324
8SJ77,20170617,1125,1189
8SJ77,20170603,1087,1142
8SJ77,20170228,1169,1172
8SJ77,20180111,719,1003
8SJ77,20180419,948,1197
8SJ77,20171107,164,620
7I67C,20170415,601,676
7I67C,20180315,890,947
0F76P,20180307,979,1011
0F76P,20180211,62,988
0F76P,20171007,710,737
0F76P,20170526,232,1150
0F76P,20180309,1055,1197
ZAB1A,20171018,803,991
ZAB1A,20170117,59,378
ZAB1A,20171224,229,1132
ZAB1A,20171105,720,776
ZAB1A,20170127,459,798
ZAB1A,20170730,81,212
ZAB1A,20170403,4,12
ZAB1A,20180319,44,61
ZAB1A,20170524,641,763
ZAB1A,20170924,1079,1137
ZAB1A,20180428,1050,1157
ZAB1A,20170321,318,734
W5YVL,20170120,855,1124
W5YVL,20170907,113,802
W5YVL,20180427,502,1033
ITWMV,20170222,171,563
ITWMV,20170605,234,1081
ITWMV,20170617,1163,1199
ITWMV,20170113,546,926
ITWMV,20170107,212,447
ITWMV,20170410,141,231
ITWMV,20170907,1072,1142
ITWMV,20170413,556,848
ITWMV,20170703,926,1117
ITWMV,20171109,1176,1188
ITWMV,20180127,795,907
ITWMV,20170711,1191,1199
ITWMV,20170328,1177,1193
ITWMV,20171019,636,1086
ITWMV,20171014,449,998
ITWMV,20170216,447,531
ITWMV,20180131,960,976
ITWMV,20170614,222,1193
ITWMV,20170108,1085,1116
ITWMV,20180302,649,744
ITWMV,20180401,937,1116
ITWMV,20171230,704,746
ITWMV,20170817,21,1048
ITWMV,20180330,718,915
ITWMV,20170816,454,1181
44VO2,20171119,411,727
44VO2,20180125,479,591
44VO2,20171030,98,384
44VO2,20170612,826,870
44VO2,20170330,462,924
44VO2,20170725,683,978
44VO2,20171026,1160,1170
44VO2,20170320,508,886
44VO2,20170429,626,639
44VO2,20170711,881,965
07QP3,20170517,401,598
D2KY6,20180105,769,804
D2KY6,20171209,266,1105
D2KY6,20171120,797,803
D2KY6,20170518,1194,1199
D2KY6,20180115,746,836
D2KY6,20170805,288,466
D2KY6,20170515,463,1148
D2KY6,20170727,226,643
D2KY6,20180123,707,1038
D2KY6,20170221,78,186
D2KY6,20180421,769,1134
D2KY6,20170629,769,1173
D2KY6,20170604,1153,1190
D2KY6,20171107,623,924
5O6SK,20180325,785,1179
NJ876,20180425,553,1052
NJ876,20170325,635,1033
NJ876,20170315,670,753
NJ876,20170314,708,1023
NJ876,20180330,410,533
NJ876,20170806,975,1058
NJ876,20171003,175,356
NJ876,20180318,797,1129
NJ876,20170124,382,716
NJ876,20171120,226,282
NJ876,20171012,1007,1058
NJ876,20170521,1175,1187
NJ876,20170720,264,1136
NJ876,20171122,217,759
NJ876,20180222,865,900
NJ876,20170627,302,1040
NJ876,20170807,466,808
NJ876,20170224,430,1150
NJ876,20170303,464,1060
NJ876,20170301,1112,1156
NJ876,20170808,391,841
7788A,20180212,675,881
7788A,20171214,233,772
7788A,20180208,1118,1145
7788A,20170704,890,910
7788A,20170523,312,788
7788A,20170618,1126,1170
7788A,20180118,1173,1174
7788A,20171212,756,1195
7788A,20170309,554,1171
7788A,20170627,220,730
7788A,20170820,1016,1151
7788A,20180116,1193,1193
7788A,20170615,300,591
7788A,20171122,230,1073
7788A,20170510,474,966
7788A,20170808,760,990
7788A,20170520,993,1194
7788A,20170306,453,510
7788A,20170619,180,195
7788A,20180315,121,738
7788A,20170528,393,912
7788A,20170205,896,911
7788A,20170712,238,1074
7788A,20171014,330,865
7788A,20180106,443,1018
7788A,20171126,596,671
7788A,20180419,575,632
7788A,20180501,532,705
7788A,20170513,248,995
GKZV7,20170529,181,1127
GKZV7,20170111,1188,1198
GKZV7,20170816,274,365
GKZV7,20171014,655,878
GKZV7,20170322,254,604
GKZV7,20180415,712,819
GKZV7,20171008,390,422
GKZV7,20170601,981,1181
PEL8G,20180218,131,602
PEL8G,20170814,634,960
T2JF2,20180326,523,1163
T2JF2,20180124,284,1074
T2JF2,20171225,1193,1194
T2JF2,20180410,967,999
T2JF2,20170927,773,904
43N05,20170426,105,320
43N05,20171110,95,677
43N05,20170127,436,756
43N05,20170302,353,430
43N05,20170830,1156,1179
43N05,20180424,230,709
43N05,20170524,333,1057
43N05,20180122,867,1178
43N05,20170603,636,870
43N05,20170911,522,938
43N05,20170405,464,694
43N05,20171122,1005,1160
43N05,20170612,796,1161
43N05,20180406,529,599
43N05,20170122,134,760
43N05,20180329,773,1147
43N05,20170801,321,1200
43N05,20171218,982,1011
43N05,20170402,1093,1167
43N05,20180224,1059,1157
43N05,20170427,322,749
43N05,20170131,760,1161
43N05,20170317,941,1092
43N05,20170609,859,889
43N05,20170225,724,1014
HI1Q5,20180114,1045,1056
HI1Q5,20171106,1079,1109
HI1Q5,20170216,313,784
HI1Q5,20170711,21,146
HI1Q5,20180301,626,637
HI1Q5,20180126,237,335
HI1Q5,20170617,482,1158
HI1Q5,20170813,892,981
HI1Q5,20171025,103,1000
HI1Q5,20180328,691,1106
HI1Q5,20170318,835,1090
HI1Q5,20180309,563,643
HI1Q5,20170908,598,922
HI1Q5,20170327,761,777
HI1Q5,20171216,862,874
HI1Q5,20170515,577,1080
HI1Q5,20170118,179,569
JQ162,20180130,1178,1195
JQ162,20171003,374,1083
JQ162,20171202,177,956
JQ162,20170403,134,1032
JQ162,20170120,310,368
JQ162,20180125,618,656
JQ162,20180118,1001,1130
JQ162,20180116,1087,1135
JQ162,20170203,674,978
JQ162,20180428,865,1110
JQ162,20180224,543,610
JQ162,20170830,224,1075
JQ162,20170528,374,519
JQ162,20171204,791,1143
JQ162,20180430,137,493
JQ162,20170201,217,369
JQ162,20170709,213,265
JQ162,20180128,732,995
JQ162,20170928,1134,1176
JQ162,20170610,943,1092
JQ162,20170303,1139,1172
JQ162,20180212,893,935
402DQ,20170504,443,724
402DQ,20171210,437,567
402DQ,20170810,852,1176
402DQ,20170804,383,546
402DQ,20170401,190,257
33378,20170707,431,456
33378,20170111,829,1110
33378,20171103,927,979
33378,20180310,364,378
33378,20170415,36,388
33378,20171217,723,761
33378,20171020,673,894
33378,20170209,903,944
33378,20170922,391,1138
33378,20171226,549,762
33378,20170505,904,1114
33378,20170520,758,798
33378,20180214,647,786
33378,20170220,436,527
1RSYJ,20170108,15,219
1RSYJ,20170619,1063,1063
1RSYJ,20170318,123,1037
1RSYJ,20170811,1012,1049
1RSYJ,20180404,164,328
1RSYJ,20170403,996,1122
1RSYJ,20170531,638,698
31A6U,20170506,993,1060
31A6U,20180101,859,892
31A6U,20170811,976,991
31A6U,20170831,38,389
31A6U,20170410,586,1087
31A6U,20170225,1073,1133
31A6U,20180314,398,1104
31A6U,20170912,671,950
31A6U,20170320,519,1186
31A6U,20170104,276,1197
31A6U,20180124,902,1162
31A6U,20170927,15,825
31A6U,20180213,12,953
31A6U,20180227,1061,1098
31A6U,20170926,242,459
31A6U,20180408,1033,1089
31A6U,20171127,63,731
31A6U,20180131,757,1073
31A6U,20170513,246,1145
31A6U,20170313,120,1105
7BQKU,20170115,508,1117
7BQKU,20170303,1098,1109
7BQKU,20170408,660,774
7BQKU,20180304,303,519
7BQKU,20171123,553,1013
7BQKU,20170302,64,1182
7BQKU,20170717,591,658
7BQKU,20170730,929,1161
7BQKU,20171004,801,947
7BQKU,20180420,847,1144
7BQKU,20170903,144,1165
7BQKU,20170203,852,1035
7BQKU,20170619,236,532
7BQKU,20171207,904,1037
7BQKU,20170810,188,762
7BQKU,20170520,71,460
7BQKU,20170720,1061,1079
7BQKU,20171115,382,822
UK1F2,20170626,788,1184
UK1F2,20180412,225,450
UK1F2,20170724,83,803
UK1F2,20170309,877,1049
UK1F2,20180212,382,859
UK1F2,20180109,344,518
UK1F2,20171122,115,722
UK1F2,20180311,685,820
UK1F2,20171117,201,536
UK1F2,20180308,705,832
UK1F2,20180122,643,759
UK1F2,20180417,381,741
UK1F2,20170525,380,831
UK1F2,20170729,857,980
UK1F2,20170908,1055,1199
UK1F2,20171212,628,989
UK1F2,20180226,296,917
UK1F2,20171116,188,602
UK1F2,20180125,9,465
UK1F2,20170624,92,762
UK1F2,20180424,441,952
UK1F2,20170414,1076,1164
UK1F2,20171211,988,1076
UK1F2,20180317,411,830
UK1F2,20171011,79,105
UK1F2,20170613,871,911
UK1F2,20170128,655,693
UK1F2,20170828,419,758
UK1F2,20170810,694,757
NB10J,20171212,397,443
NB10J,20170504,140,675
NB10J,20170512,389,933
NB10J,20170827,527,710
NB10J,20171101,105,155
NB10J,20170227,268,910
NB10J,20170726,890,1157
NB10J,20180312,534,614
NB10J,20170123,54,262
NB10J,20170218,328,541
NB10J,20171102,43,192
NB10J,20170507,949,1059
I827Y,20171008,612,1158
I827Y,20170102,270,469
I827Y,20180224,401,801
I827Y,20180429,125,460
I827Y,20171101,382,860
I827Y,20180129,957,967
I827Y,20180302,1075,1185
I827Y,20171104,767,995
I827Y,20170201,1141,1169
I827Y,20180413,329,972
I827Y,20180204,812,878
I827Y,20170706,607,944
I827Y,20170209,502,740
I827Y,20170328,373,633
I827Y,20170405,645,821
I827Y,20170406,498,1008
I827Y,20180319,77,350
I827Y,20170713,1009,1178
I827Y,20171123,627,924
I827Y,20180203,82,1087
I827Y,20170506,763,920
I827Y,20170926,1119,1176
I827Y,20170816,148,732
O86WU,20180406,508,1122
O86WU,20180225,688,1085
O86WU,20170525,72,567
O86WU,20170808,1179,1200
O86WU,20180401,433,796
O86WU,20170526,132,269
30Y1F,20170501,515,971
30Y1F,20180201,736,976
30Y1F,20170710,48,380
30Y1F,20180408,38,903
30Y1F,20170729,1066,1129
30Y1F,20171112,1145,1188
30Y1F,20170710,187,687
30Y1F,20180310,396,601
30Y1F,20180220,1089,1141
30Y1F,20170618,914,964
30Y1F,20180216,1101,1137
30Y1F,20170909,691,957
8G0Z2,20170216,1084,1153
8G0Z2,20170914,738,1112
8G0Z2,20170710,698,1087
8G0Z2,20171031,373,880
8G0Z2,20171224,1175,1192
8G0Z2,20170221,799,971
8G0Z2,20170707,88,971
8G0Z2,20170403,493,942
8G0Z2,20171108,1102,1167
8G0Z2,20170816,629,685
OBU3O,20171021,523,955
OBU3O,20170812,622,1124
OBU3O,20170415,805,818
OBU3O,20170811,292,401
OBU3O,20180329,593,898
OBU3O,20170517,313,1079
OBU3O,20170403,484,716
OBU3O,20180407,699,1161
OBU3O,20170315,260,1124
OBU3O,20170509,581,968
OBU3O,20170129,174,828
OBU3O,20170406,1169,1196
OBU3O,20170809,778,1190
OBU3O,20171022,331,757
OBU3O,20170619,684,1137
OBU3O,20180126,1156,1167
OBU3O,20170507,499,977
OBU3O,20171119,327,448
OBU3O,20170422,864,1149
I0UIP,20170124,687,1011
I0UIP,20170323,670,1184
I0UIP,20170326,620,1131
I0UIP,20171027,121,368
I0UIP,20170424,1023,1145
